,gain
P_2__last,5166046.793416023
P_2__ewm3__last,1229126.396429062
B_1__last,619956.1903915405
P_2__roll3_mean__last,558738.6482133865
R_1__ewm3__last,313102.80792427063
B_2__last,177610.36987495422
B_9__last,171724.54686927795
B_11__last,137116.4613046646
D_39__last,105493.40180444717
S_3__mean,81203.93038272858
D_39__ewm3__last,74915.29392528534
B_4__std,71902.724401474
R_2__ewm3__last,59694.24238061905
R_3__mean,58190.322083473206
D_44__last,58010.58487701416
D_44__ewm3__last,57577.5118894577
B_4__last,56026.06991672516
B_3__std,50810.66971492767
D_41__last,48754.54553985596
B_3__last,45971.92098855972
S_3__ewm3__last,43672.968541145325
D_43__last,43586.7405872345
R_1__roll3_mean__last,41902.802777290344
D_45__max,40095.00455379486
D_46__last,38017.38642978668
S_23__last,37013.93918323517
D_51__mean,35508.3066277504
S_3__last,33883.07583427429
P_2__prev__last,33522.797726631165
D_43__mean,32288.833631515503
D_79__last,31450.217737197876
D_41__roll3_std__last,27512.356464862823
D_48__last,27239.39236831665
D_44__std,26260.53197336197
B_7__last,25906.964422225952
D_48__ewm3__last,24837.893551826477
D_45__mean,23972.84846305847
B_5__last,22605.077387809753
R_27__min,22259.689796447754
D_131__last,20710.764753341675
D_39__roll3_std__last,20460.48340511322
B_1__ewm3__last,20186.582735061646
D_51__last,20054.17645740509
D_62__min,17382.010208129883
S_15__mean,16945.76037788391
B_2__roll3_mean__last,16733.64733028412
P_3__mean,16240.790040016174
R_5__last,16230.491670131683
D_112__last,15546.494381904602
D_39__max,15269.02047252655
R_27__last,15127.813626289368
S_3__min,14985.577983856201
D_129__mean,14795.847487449646
D_48__delta_pct__last,14435.421883583069
D_59__std,14351.85077047348
R_3__last,14346.259472846985
D_46__mean,14052.94755077362
D_39__std,13961.64060306549
D_129__last,13847.404163360596
R_1__last,13753.398694038391
D_39__roll3_mean__last,13751.16983795166
B_2__ewm3__last,13735.72155380249
R_2__last,13562.833859443665
R_3__max,13136.6047706604
R_3__ewm3__last,13063.086185455322
B_4__ewm3__last,12801.672050476074
B_8__mean,12596.205570220947
S_11__mean,12580.491160392761
B_5__roll3_mean__last,12398.20194721222
P_2__mean,12367.022581100464
R_4__ewm3__last,12225.83330821991
D_79__std,12208.578144073486
