,gain
P_2__last,2214.969024658203
P_2__ewm3__last,1308.8936767578125
B_1__last,1060.7173767089844
B_9__last,474.1025848388672
B_2__last,378.50211334228516
R_1__ewm3__last,293.6115951538086
D_44__ewm3__last,259.97872161865234
D_48__last,180.03333473205566
B_11__last,172.68264198303223
B_37__last,166.84956073760986
B_1__ewm3__last,165.31076097488403
B_3__last,108.13436317443848
S_3__ewm3__last,107.40467071533203
R_3__mean,101.90674781799316
B_9__ewm3__last,97.26277947425842
D_41__last,94.59284210205078
D_45__max,85.54172897338867
D_39__last,80.43638229370117
D_44__last,74.50372505187988
S_23__last,74.45419788360596
S_3__mean,74.08546733856201
B_4__std,70.61775875091553
B_4__last,66.12450504302979
D_51__last,63.891069412231445
D_39__ewm3__last,62.79115009307861
R_2__ewm3__last,62.04681968688965
R_1__roll3_mean__last,59.16472244262695
D_131__last,57.735966205596924
S_3__last,57.1771183013916
D_44__roll3_mean__last,56.35294008255005
D_44__std,54.71971893310547
S_3__roll3_mean__last,51.54096174240112
R_27__min,50.995556354522705
D_43__mean,49.94144630432129
R_27__last,47.28306436538696
R_3__ewm3__last,44.854103565216064
D_45__mean,43.617990016937256
D_46__last,42.433199882507324
D_64__last,41.48894500732422
D_43__last,40.552987575531006
B_2__roll3_mean__last,39.93345069885254
P_3__ewm3__last,39.56183385848999
R_1__last,38.83258628845215
D_65__last,37.613423347473145
D_51__mean,37.18394422531128
R_3__last,36.575947761535645
S_15__mean,35.42296743392944
B_7__last,35.14738082885742
S_25__std,33.50826978683472
B_3__std,32.809913635253906
D_129__mean,31.9861421585083
B_5__last,31.602182865142822
P_3__mean,31.366036415100098
D_79__last,30.980480194091797
D_41__roll3_std__last,30.631649494171143
R_3__max,30.39610719680786
R_2__last,29.83800220489502
D_129__last,29.703575611114502
D_75__std,29.386739253997803
B_4__ewm3__last,29.236741065979004
B_3__roll3_std__last,28.94316530227661
S_3__max,28.855144023895264
B_3__ewm3__last,28.372802734375
D_39__roll3_std__last,27.54112434387207
B_5__roll3_mean__last,27.338488340377808
D_59__std,27.075258255004883
S_7__max,26.9753680229187
S_7__mean,26.736968994140625
S_7__last,26.466893672943115
B_21__mean,26.120831966400146
D_39__roll3_mean__last,25.5407452583313
D_45__last,25.48419165611267
B_5__ewm3__last,25.09509539604187
D_66__top1freq,24.91917371749878
P_3__roll3_mean__last,23.90766191482544
D_39__max,23.753535270690918
B_8__mean,23.714848518371582
D_41__ewm3__last,23.16690731048584
D_66__nuniq,23.12549090385437
D_112__last,23.031784772872925
D_39__std,22.954232454299927
S_3__min,22.154977083206177
S_26__max,21.88097047805786
R_3__roll3_mean__last,21.791799068450928
D_45__min,21.691051483154297
D_47__last,21.59989023208618
S_15__max,21.31587529182434
D_52__min,21.28631329536438
D_120__last,21.245596170425415
D_46__mean,21.129026889801025
D_65__max,21.046956062316895
B_21__max,20.974745988845825
S_8__last,20.702019691467285
B_26__last,20.423708200454712
D_129__max,20.097252130508423
D_79__std,20.07599186897278
B_8__min,19.845124006271362
D_65__mean,19.75574040412903
D_48__delta_pct__last,19.522550582885742
D_133__last,19.379362106323242
R_4__ewm3__last,19.334891080856323
D_46__min,19.312859296798706
D_62__min,19.26524591445923
D_48__ewm3__last,19.233803272247314
D_51__max,19.15633273124695
B_18__max,19.063039541244507
B_2__ewm3__last,18.749903440475464
R_11__mean,18.543744802474976
S_24__last,18.249123573303223
B_4__roll3_std__last,18.208394050598145
S_11__mean,17.89285373687744
D_65__std,17.84260368347168
B_2__min,17.61193299293518
B_2__prev__last,17.068302750587463
D_79__mean,16.84010648727417
D_121__min,16.77825903892517
